mat_latitude,mat_longitude
45.47771,9.22579
45.47772,9.22578
45.47771,9.22579
45.4777,9.22579
45.47771,9.22579
45.47771,9.22579
45.47771,9.2258
45.4777,9.2258
45.4777,9.2258
45.47772,9.22581
45.47772,9.22581
45.47772,9.22582
45.47772,9.22582
45.47772,9.22582
45.47772,9.22582
45.47772,9.22582
45.47772,9.22582
45.47772,9.22583
45.47772,9.22583
45.47771,9.22583
45.47771,9.22584
45.47771,9.22585
45.4777,9.22586
45.4777,9.22587
45.4777,9.22588
45.4777,9.22588
45.4777,9.22588
45.4777,9.22589
45.47769,9.2259
45.47769,9.2259
45.47769,9.2259
45.47769,9.2259
45.47768,9.2259
45.47768,9.2259
45.47768,9.22591
45.47768,9.22591
45.47768,9.22592
45.47768,9.22593
45.47767,9.22593
45.47766,9.22594
45.47766,9.22595
45.47765,9.22596
45.47766,9.22597
45.47766,9.22596
45.47766,9.22597
45.47766,9.22597
45.47766,9.22598
45.47766,9.226
45.47766,9.226
45.47766,9.226
45.47766,9.22601
45.47765,9.22602
45.47765,9.22602
45.47765,9.22603
45.47765,9.22604
45.47765,9.22604
45.47765,9.22605
45.47764,9.22606
45.47764,9.22607
45.47764,9.22608
45.47764,9.22609
45.47764,9.22609
45.47764,9.2261
45.47763,9.2261
45.47763,9.2261
45.47763,9.22611
45.47763,9.22611
45.47763,9.22612
45.47763,9.22613
45.47762,9.22614
45.47762,9.22614
45.47762,9.22614
45.47762,9.22615
45.47762,9.22616
45.47762,9.22617
45.47761,9.22618
45.47761,9.22618
45.47761,9.22619
45.47761,9.22619
45.47761,9.2262
45.47761,9.2262
45.47761,9.2262
45.47761,9.22621
45.47761,9.22622
45.47761,9.22623
45.47761,9.22623
45.47761,9.22624
45.47761,9.22625
45.47761,9.22625
45.47761,9.22625
45.4776,9.22626
45.4776,9.22626
45.47761,9.22627
45.47761,9.22627
45.47761,9.22627
45.47761,9.22629
45.47761,9.22629
45.47761,9.22631
45.47761,9.22631
45.47761,9.22632
45.47761,9.22632
45.4776,9.22633
45.47761,9.22633
45.47761,9.22634
45.47761,9.22635
45.47761,9.22636
45.4776,9.22636
45.4776,9.22636
45.4776,9.22637
45.47761,9.22638
45.47761,9.22639
45.47761,9.2264
45.47761,9.22641
45.47761,9.22641
45.47761,9.22641
45.47761,9.22642
45.47761,9.22643
45.47761,9.22644
45.47761,9.22645
45.47762,9.22645
45.47761,9.22646
45.47761,9.22647
45.47762,9.22647
45.47762,9.22649
45.47762,9.2265
45.47762,9.22651
45.47762,9.22652
45.47762,9.22653
45.47763,9.22654
45.47763,9.22655
45.47763,9.22655
45.47763,9.22656
45.47764,9.22657
45.47763,9.22656
45.47764,9.22656
45.47764,9.22656
45.47763,9.22656
45.47763,9.22656
45.47763,9.22656
45.47763,9.22656
45.47763,9.22656
45.47763,9.22656
45.47763,9.22656
45.47763,9.22656
45.47763,9.22656
45.47763,9.22656
45.47763,9.22656
45.47762,9.22656
45.47762,9.22656
45.47762,9.22656
45.47762,9.22656
45.47762,9.22656
45.47762,9.22657
45.47762,9.22658
45.47763,9.22658
45.47763,9.22658
45.47763,9.22659
45.47763,9.2266
45.47763,9.2266
45.47763,9.2266
45.47763,9.2266
45.47763,9.2266
45.47763,9.22661
45.47764,9.22662
45.47764,9.22662
45.47764,9.22662
45.47765,9.22663
45.47764,9.22663
45.47764,9.22664
45.47765,9.22664
45.47765,9.22665
45.47765,9.22665
45.47765,9.22665
45.47766,9.22665
45.47766,9.22666
45.47766,9.22667
45.47766,9.22667
45.47766,9.22668
45.47766,9.22668
45.47766,9.22669
45.47766,9.2267
45.47767,9.2267
45.47767,9.22671
45.47767,9.22671
45.47767,9.22671
45.47768,9.22672
45.47768,9.22672
45.47768,9.22673
45.47769,9.22673
45.47769,9.22674
45.47769,9.22674
45.4777,9.22675
45.4777,9.22675
45.4777,9.22675
45.4777,9.22676
45.47771,9.22676
45.47771,9.22676
45.47772,9.22677
45.47772,9.22677
45.47772,9.22677
45.47773,9.22677
45.47773,9.22677
45.47774,9.22677
45.47774,9.22677
45.47775,9.22678
45.47775,9.22678
45.47775,9.22678
45.47776,9.22678
45.47776,9.22678
45.47776,9.22679
45.47777,9.22679
45.47777,9.22679
45.47778,9.2268
45.47778,9.2268
45.47778,9.2268
45.47779,9.2268
45.47779,9.2268
45.4778,9.2268
45.4778,9.22681
45.4778,9.22681
45.47781,9.22681
45.47781,9.22682
45.47782,9.22682
45.47782,9.22682
45.47782,9.22682
45.47783,9.22682
45.47783,9.22682
45.47783,9.22683
45.47784,9.22683
45.47784,9.22683
45.47784,9.22683
45.47785,9.22683
45.47785,9.22684
45.47785,9.22684
45.47786,9.22684
45.47786,9.22684
45.47786,9.22685
45.47787,9.22685
45.47787,9.22685
45.47788,9.22685
45.47788,9.22685
45.47789,9.22685
45.47789,9.22685
45.47789,9.22686
45.4779,9.22686
45.4779,9.22686
45.47791,9.22686
45.47791,9.22686
45.47791,9.22686
45.47793,9.22686
45.47793,9.22687
45.47793,9.22687
45.47793,9.22687
45.47794,9.22687
45.47794,9.22687
45.47795,9.22687
45.47795,9.22687
45.47796,9.22687
45.47796,9.22688
45.47797,9.22687
45.47797,9.22687
45.47798,9.22688
45.47798,9.22688
45.47799,9.22688
45.47799,9.22688
45.478,9.22688
45.478,9.22688
45.47801,9.22688
45.47801,9.22688
45.47801,9.22688
45.47801,9.22688
45.47801,9.22688
45.47801,9.22688
45.47801,9.22688
45.47801,9.22688
45.47801,9.22688
45.47801,9.22688
45.47802,9.22688
45.47802,9.22688
45.47802,9.22688
45.47802,9.22688
45.47802,9.22687
45.47802,9.22686
45.47802,9.22686
45.47801,9.22685
45.47801,9.22685
45.47801,9.22685
45.47801,9.22684
45.47801,9.22684
45.47801,9.22683
45.47801,9.22683
45.478,9.22682
45.47801,9.22682
45.47801,9.22682
45.47802,9.22681
45.47803,9.22681
45.47803,9.22681
45.47804,9.22681
45.47805,9.22681
45.47806,9.22681
45.47806,9.22681
45.47807,9.22681
45.47808,9.22681
45.47808,9.22681
45.47809,9.22681
45.4781,9.22681
45.4781,9.22681
45.47811,9.22681
45.47811,9.22681
45.47812,9.22681
45.47812,9.22681
45.47812,9.22681
45.47813,9.22681
45.47813,9.22681
45.47814,9.22681
45.47814,9.22681
45.47815,9.22681
45.47815,9.22681
45.47816,9.2268
45.47816,9.2268
45.47817,9.2268
45.47817,9.2268
45.47817,9.22681
45.47818,9.22681
45.47818,9.22681
45.47819,9.22681
45.47819,9.22681
45.4782,9.22681
45.4782,9.22681
45.47821,9.22681
45.47821,9.22681
45.47821,9.22681
45.47822,9.22682
45.47822,9.22682
45.47822,9.22683
45.47822,9.22684
45.47822,9.22685
45.47822,9.22686
45.47822,9.22687
45.47822,9.22688
45.47822,9.22688
45.47822,9.22689
45.47822,9.2269
45.47823,9.2269
45.47823,9.2269
45.47824,9.2269
45.47824,9.2269
45.47824,9.22689
45.47825,9.22689
45.47825,9.22689
45.47826,9.22689
45.47826,9.22689
45.47827,9.22688
45.47827,9.22688
45.47828,9.22688
45.47828,9.22688
45.47829,9.22687
45.4783,9.22687
45.4783,9.22687
45.47831,9.22687
45.47831,9.22687
45.47831,9.22687
45.47832,9.22687
45.47832,9.22687
45.47833,9.22687
45.47833,9.22686
45.47833,9.22687
45.47833,9.22687
45.47833,9.22687
45.47833,9.22687
45.47833,9.22687
45.47833,9.22687
45.47833,9.22687
45.47833,9.22687
45.47833,9.22687
45.47833,9.22687
45.47833,9.22687
45.47833,9.22687
45.47833,9.22687
45.47833,9.22687
45.47833,9.22687
45.47833,9.22687
45.47834,9.22687
45.47834,9.22687
45.47834,9.22686
45.47835,9.22686
45.47836,9.22686
45.47836,9.22686
45.47836,9.22686
45.47837,9.22686
45.47837,9.22686
45.47838,9.22685
45.47838,9.22685
45.47839,9.22685
45.47839,9.22685
45.4784,9.22684
45.47841,9.22684
45.47841,9.22684
45.47841,9.22684
45.47842,9.22684
45.47842,9.22683
45.47843,9.22683
45.47844,9.22683
45.47844,9.22682
45.47844,9.22682
45.47845,9.22682
45.47845,9.22682
45.47846,9.22681
45.47846,9.22681
45.47847,9.22681
45.47847,9.22681
45.47848,9.2268
45.47848,9.2268
45.47849,9.22679
45.4785,9.22679
45.4785,9.22679
45.47851,9.22678
45.47852,9.22678
45.47853,9.22677
45.47853,9.22677
45.47854,9.22676
45.47854,9.22676
45.47855,9.22675
45.47855,9.22675
45.47856,9.22675
45.47856,9.22674
45.47856,9.22674
45.47857,9.22674
45.47857,9.22673
45.47858,9.22672
45.47858,9.22671
45.47858,9.22671
45.47859,9.2267
45.47859,9.22669
45.47859,9.22668
45.4786,9.22667
45.4786,9.22666
45.4786,9.22665
45.4786,9.22664
45.47861,9.22663
45.47861,9.22662
45.47861,9.22661
45.47861,9.2266
45.47861,9.22659
45.47862,9.22658
45.47862,9.22657
45.47862,9.22656
45.47862,9.22656
45.47862,9.22655
45.47863,9.22654
45.47863,9.22653
45.47863,9.22652
45.47863,9.22651
45.47863,9.22651
45.47863,9.2265
45.47863,9.22649
45.47864,9.22648
45.47864,9.22647
45.47864,9.22646
45.47864,9.22645
45.47864,9.22644
45.47864,9.22644
45.47864,9.22642
45.47864,9.22642
45.47864,9.22641
45.47864,9.2264
45.47864,9.22638
45.47864,9.22638
45.47864,9.22637
45.47864,9.22636
45.47864,9.22635
45.47864,9.22633
45.47864,9.22632
45.47864,9.22631
45.47865,9.2263
45.47864,9.22629
45.47865,9.22629
45.47865,9.22628
45.47865,9.22627
45.47865,9.22626
45.47865,9.22624
45.47865,9.22623
45.47864,9.22622
45.47864,9.22621
45.47864,9.2262
45.47864,9.22619
45.47864,9.22618
45.47864,9.22617
45.47863,9.22616
45.47863,9.22615
45.47863,9.22614
45.47863,9.22613
45.47863,9.22612
45.47863,9.22611
45.47862,9.2261
45.47862,9.22609
45.47862,9.22608
45.47861,9.22607
45.47861,9.22607
45.47861,9.22606
45.4786,9.22605
45.4786,9.22604
45.4786,9.22603
45.47859,9.22603
45.47859,9.22602
45.47859,9.22601
45.47858,9.226
45.47858,9.22599
45.47858,9.22598
45.47858,9.22597
45.47857,9.22597
45.47857,9.22596
45.47856,9.22595
45.47856,9.22594
45.47855,9.22593
45.47855,9.22592
45.47854,9.22591
45.47854,9.2259
45.47853,9.2259
45.47853,9.22589
45.47853,9.22588
45.47852,9.22587
45.47852,9.22586
45.47851,9.22586
45.47851,9.22585
45.47851,9.22585
45.47851,9.22584
45.47851,9.22583
45.47851,9.22583
45.47851,9.22583
45.47851,9.22583
45.47851,9.22583
45.47851,9.22583
45.47851,9.22583
45.47851,9.22583
45.47851,9.22583
45.47851,9.22584
45.47851,9.22584
45.47851,9.22584
45.4785,9.22584
45.4785,9.22583
45.47851,9.22583
45.47851,9.22583
45.47851,9.22583
45.4785,9.22583
45.47851,9.22582
45.47851,9.22582
